index	return	risk	AAPL	SPY	TSLA	QQQ	MSFT	NVDA
26	0.01852897642213238	0.046427187186457726	0.2779289724267144	0.3094774613560346	0.0	0.24126545886797462	6.245004513516506e-17	0.17132810734927642
27	0.018682077942697016	0.04680001478916998	0.2760890897364048	0.3024091308682556	4.7704895589362195e-18	0.23963236636704707	1.0408340855860843e-16	0.18186941302829246
28	0.018835179463261655	0.04718360654315741	0.27416546679526266	0.29538784352269015	0.0	0.238036974633048	0.0	0.19240971504899934
29	0.018988280983826294	0.04757797160657609	0.27214982514709635	0.2883825126275636	0.0	0.23653217211766564	1.1926223897340549e-17	0.2029354901076746
30	0.01914138250439093	0.04798348524847453	0.26997128546503274	0.28130475377041514	6.071532165918825e-18	0.23532623055053992	1.3877787807814457e-17	0.2133977302140123
31	0.01929448402495557	0.04839711578549829	0.26790269813955053	0.2746329392561595	0.0	0.23342737713121317	6.938893903907228e-18	0.2240369854730767
32	0.01944758554552021	0.04882242075437152	0.26555030704304206	0.2677661454641205	2.7321894746634712e-17	0.23214384092941381	4.163336342344337e-17	0.2345397065634236
33	0.019600687066084848	0.049256848439112856	0.2633051779641784	0.2610331845092946	2.6020852139652106e-18	0.23054501403725544	0.0	0.24511662348927152
34	0.019753788586649487	0.04970048197311151	0.260869687071467	0.2545669877550347	0.0	0.2288120255930153	0.0	0.2557512995804831
35	0.019906890107214123	0.05015444951339317	0.258347255122638	0.2479807061342099	0.0	0.22735056237533255	0.0	0.2663214763678196
36	0.020059991627778762	0.05061785880421636	0.2557470369834321	0.24145081915196975	2.6020852139652106e-17	0.2259066531062549	3.469446951953614e-17	0.2768954907583433
37	0.0202130931483434	0.05109054553341962	0.2530675846091644	0.23498128895614614	1.870248747537495e-17	0.224476616363047	2.42861286636753e-17	0.2874745100716424
38	0.020366194668908037	0.05157235793422679	0.25030835479189867	0.22857290624616855	6.071532165918825e-18	0.22306003044974745	0.0	0.2980587085121854
39	0.020519296189472677	0.05206314696814163	0.24746937509559566	0.222225867565863	1.713039432527097e-17	0.22165659039272648	4.5102810375396984e-17	0.3086481669458147
40	0.020672397710037316	0.052562765284994206	0.24455092725472363	0.21594019149031718	0.0	0.22026592686698698	3.469446951953614e-18	0.31924295438797223
41	0.02082549923060195	0.05307106735964647	0.2415534156661079	0.2097157896359948	1.6263032587282567e-18	0.21888766633262263	0.0	0.3298431283652748
42	0.02097860075116659	0.05358790942509008	0.2384773161594698	0.20355251440109268	2.2768245622195593e-18	0.2175214300202287	0.0	0.34044873941920895
43	0.02113170227173123	0.05411414585949793	0.23507222971466832	0.19755847769492751	1.2793585635328952e-17	0.21632473292797305	1.0408340855860843e-17	0.35104455966243114
44	0.02128480379229587	0.054647544363164206	0.2318815005427498	0.19150478689391673	0.0	0.21494793853276778	1.734723475976807e-18	0.36166577403056577
45	0.02143790531286051	0.055188985381230835	0.22862588466381198	0.18550281804918264	0.0	0.21357934967412537	0.0	0.37229194761288004
46	0.021591006833425144	0.05573831778679326	0.22530620322869188	0.17955202447029275	0.0	0.21221871368361447	4.7704895589362195e-18	0.38292305861740095
47	0.021744108353989784	0.05629650281779632	0.2217115238104245	0.17377262190821172	4.743384504624082e-19	0.2109586267682882	2.3852447794681098e-18	0.3935572275130757
48	0.021897209874554423	0.05686076775440901	0.21835206183844108	0.16788635095527424	0.0	0.20955788178652812	0.0	0.40420370541975664
